country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Norway,1984,71.18,14989.4857665906,6.21827411167513,62057955032.7758,2.90000009536743,10225634370.278742,10225634370.278742,10225634370.278742,76.2243902439024,10225634370.278742,52.9066057209409,4672.13755033394
Qatar,1984,89.956,19252.172559164,1.10497237570072,6704395824.17582,10225634370.278742,10225634370.278742,10225634370.278742,10225634370.278742,72.186,10225634370.278742,100.0,16153.8101487188
Sweden,1984,83.1,13099.0208341765,8.04424238994422,109201362581.3,3.0699999332428,10225634370.278742,10225634370.278742,10225634370.278742,76.8158536585366,10225634370.278742,44.1086153917406,5216.25781718097
Switzerland,1984,74.286,17005.5342408851,2.93145669136628,109547355832.66,1.10000002384186,10225634370.278742,10225634370.278742,10225634370.278742,76.6085365853659,10225634370.278742,63.1015214794391,3239.36996506446
Brunei Darussalam,1985,65.697,15863.6251876936,2.35321528424929,3523612563.06532,10674123698.7283,10674123698.7283,10674123698.7283,10674123698.7283,70.582,10674123698.7283,99.673108182339,8023.81156046984
Denmark,1985,84.351,12253.1002141785,4.6787514518325,62658568287.3429,7.80000019073486,10674123698.7283,10674123698.7283,10674123698.7283,74.4275609756098,10674123698.7283,94.9150362647657,3774.10113360389
Iceland,1985,89.57,12361.1870365183,31.9946290240703,2984052356.55071,10674123698.7283,10674123698.7283,10674123698.7283,10674123698.7283,77.6024390243903,10674123698.7283,29.2664069550602,7334.90192829477
Luxembourg,1985,80.669,12481.9658448559,4.09358778530096,4577211767.10374,2.96000003814697,10674123698.7283,10674123698.7283,10674123698.7283,73.5341951219512,10674123698.7283,89.1024049387298,8346.92642062033
Norway,1985,71.31,15753.5527652129,5.71485463958584,65416879914.3907,2.3199999332428,10674123698.7283,10674123698.7283,10674123698.7283,75.9168292682927,10674123698.7283,52.1540815740689,4815.31389644254
Qatar,1985,90.1,16818.3510338263,1.91256830693923,6153296456.04396,10674123698.7283,10674123698.7283,10674123698.7283,10674123698.7283,72.381,10674123698.7283,10674123698.7283,15434.1593142882
Sweden,1985,83.1,13666.8577454736,7.37257458126244,114123537581.794,2.82999992370605,10674123698.7283,10674123698.7283,10674123698.7283,76.6678048780488,10674123698.7283,43.4266348352962,5656.19289934621
Switzerland,1985,74.227,17166.5184994159,3.43539935298264,111073640470.473,1.0,10674123698.7283,10674123698.7283,10674123698.7283,76.7336585365854,10674123698.7283,60.7870199103092,3412.39110931145
Austria,1986,64.037,13083.0726621044,1.70544456731969,99036164939.1618,3.11999988555908,12477048258.083685,12477048258.083685,12477048258.083685,74.3170731707317,12477048258.083685,79.7483965569474,3061.58886225966
Belgium,1986,96.023,12170.0406962702,1.29436819102482,120018787249.413,11.2799997329712,12477048258.083685,12477048258.083685,12477048258.083685,74.7317073170732,12477048258.083685,77.0657691337378,4633.92001661356
Denmark,1986,84.458,17201.0888129674,3.67818411863458,88078760103.8191,6.03000020980835,12477048258.083685,12477048258.083685,12477048258.083685,74.579756097561,12477048258.083685,94.7566270962993,3823.50180664751
Finland,1986,76.567,14951.0467852887,2.93357920442334,73531550551.255,5.32000017166138,12477048258.083685,12477048258.083685,12477048258.083685,74.56,12477048258.083685,58.6373581381066,5482.57842271714
Iceland,1986,89.816,16406.04794507,22.1284011876646,3989622739.28212,12477048258.083685,12477048258.083685,12477048258.083685,12477048258.083685,77.9907317073171,12477048258.083685,31.0107319678987,7605.56377991611
Luxembourg,1986,80.725,18149.8692500239,0.294563408545438,6685595087.59256,2.63000011444092,12477048258.083685,12477048258.083685,12477048258.083685,73.995512195122,12477048258.083685,89.176524500147,8163.54875052599
Netherlands,1986,67.117,13783.8501091364,0.0833467771085985,200862095700.666,12477048258.083685,12477048258.083685,12477048258.083685,12477048258.083685,76.2704878048781,12477048258.083685,97.7846211830877,4317.31559060292
Norway,1986,71.44,18883.265802712,7.17649274816349,78693253275.995,1.78999996185303,12477048258.083685,12477048258.083685,12477048258.083685,76.2412195121951,12477048258.083685,55.4863270488602,5024.07618839196
Qatar,1986,90.4,13216.457990389,0.757575757575719,5053021950.54945,12477048258.083685,75.6350402832031,12477048258.083685,89.5429306030273,72.587,12477048258.083685,12477048258.083685,15688.8169320583
Sweden,1986,83.1,17981.0194119405,4.23591011089793,150498057723.623,2.23000001907349,12477048258.083685,12477048258.083685,12477048258.083685,76.9312195121951,12477048258.083685,41.7555115772495,5878.80146655326
Switzerland,1986,74.167,24480.4225642346,0.750309839410771,159223703930.18,0.800000011920929,12477048258.083685,12477048258.083685,12477048258.083685,76.8990243902439,12477048258.083685,61.7801041215778,3544.52206015752
Austria,1987,63.769,16392.7695234749,1.40195271783978,124168442533.74,3.78999996185303,14242307033.827044,14242307033.827044,14242307033.827044,74.7682926829268,14242307033.827044,79.5788581060508,3174.74539202539
Belgium,1987,96.115,15135.8523116968,1.55338261314945,149394404105.889,11.2600002288818,14242307033.827044,14242307033.827044,14242307033.827044,75.3658536585366,14242307033.827044,76.4491832362475,4727.68639527695
Denmark,1987,84.565,21340.7278625524,4.01999345683155,109414423928.775,6.09000015258789,14242307033.827044,14242307033.827044,14242307033.827044,74.6912195121951,14242307033.827044,93.0493606355803,3819.83212873589
Finland,1987,77.291,18571.0599253579,4.11302886205054,91594751792.2359,5.07000017166138,14242307033.827044,14242307033.827044,14242307033.827044,74.5919512195122,14242307033.827044,60.2422120388373,5960.6925861338
Iceland,1987,90.057,22453.1882283809,18.2977682232304,5520318404.64149,14242307033.827044,14242307033.827044,14242307033.827044,14242307033.827044,77.3390243902439,14242307033.827044,31.8734710061879,7857.45488267666
Luxembourg,1987,80.78,22443.4314633012,-0.0566629093891733,8320902215.01891,2.47000002861023,14242307033.827044,14242307033.827044,14242307033.827044,74.0760975609756,14242307033.827044,88.449217073343,7942.94807821982
New Zealand,1987,84.025,12330.9168305483,15.7443007888927,40376354069.9474,4.21000003814697,14242307033.827044,14242307033.827044,14242307033.827044,74.1780487804878,14242307033.827044,69.3614340433071,3452.96268018568
Norway,1987,71.57,22505.8977117052,8.71704745166959,94230055658.6271,2.02999997138977,14242307033.827044,14242307033.827044,14242307033.827044,76.0817073170732,14242307033.827044,53.7963391942515,5048.49930915557
Qatar,1987,91.056,13705.4656026902,2.68528464017189,5446428681.31868,14242307033.827044,14242307033.827044,14242307033.827044,14242307033.827044,73.019,14242307033.827044,14242307033.827044,15567.2398217373
Sweden,1987,83.1,21792.5589059822,4.18857151771367,183009638350.893,2.15000009536743,14242307033.827044,14242307033.827044,14242307033.827044,77.0921951219512,14242307033.827044,40.0064871607279,5763.07044079619
Switzerland,1987,74.107,30466.1090219178,1.44032188041728,199403912956.009,0.800000011920929,14242307033.827044,14242307033.827044,14242307033.827044,77.1975609756098,14242307033.827044,59.8916612741047,3430.85551250048
Austria,1990,62.96,21680.989623313,3.26187231878578,166463386179.354,3.25,14718827198.905613,14718827198.905613,14718827198.905613,75.5682926829269,25.135754145631,79.1323454283578,3240.1113592998
Belgium,1990,96.377,20600.3752789827,3.44831217961809,205331747947.851,7.25,14718827198.905613,14718827198.905613,14718827198.905613,76.0519512195122,1.26946149475781,75.8158699605793,4809.86726801499
Brunei Darussalam,1990,66.438,13440.9140074293,2.13866293163794,3520551724.13793,14718827198.905613,14718827198.905613,14718827198.905613,14718827198.905613,71.656,0.671759471210095,99.8699973594119,6592.98738584649
Denmark,1990,84.843,26891.4464489571,2.64160306382,138247285815.855,8.34000015258789,14718827198.905613,14718827198.905613,14718827198.905613,74.8053658536585,7.04155980088103,89.5905186206529,3376.78330748527
Finland,1990,79.367,28364.6450765922,6.14956531179854,141438345513.917,3.0699999332428,14718827198.905613,14718827198.905613,14718827198.905613,74.8131707317073,24.5084314763594,55.4701768921455,5691.57118588425
"Hong Kong SAR, China",1990,99.517,13485.5448929565,10.4265402843602,76928290841.8701,1.32000005245209,14718827198.905613,14718827198.905613,14718827198.905613,77.3804878048781,1.07385629896274,14718827198.905613,1510.63388552897
Iceland,1990,90.75,25384.9150226302,15.510721994253,6468736355.55678,14718827198.905613,14718827198.905613,14718827198.905613,14718827198.905613,78.0363414634146,54.6721549511554,28.6399137949644,8907.79198354956
Ireland,1990,56.929,14031.3025675469,3.31732129894252,49305632408.4929,14.0799999237061,14718827198.905613,14718827198.905613,14718827198.905613,74.8460731707317,2.27978134203649,85.0618937955662,2820.41016808889
Luxembourg,1990,80.947,33465.478207919,3.25376659083636,12778792853.6939,1.61000001430511,14718827198.905613,14718827198.905613,14718827198.905613,75.4383170731707,1.72183239792546,89.1708525437079,8874.10501505827
New Zealand,1990,84.742,13663.0216184298,6.09844414810207,45495129385.0475,7.98000001907349,14718827198.905613,14718827198.905613,14718827198.905613,75.3780487804878,30.0305927684891,66.7463465777713,3854.36602798967
Norway,1990,71.956,28242.943738533,4.13103348311347,119791683307.507,5.26000022888184,14718827198.905613,14718827198.905613,14718827198.905613,76.5373170731707,59.1737464148242,52.0530053123507,4966.8935768305
Qatar,1990,92.786,16664.8314327886,3.0009680542111,7360439423.07692,14718827198.905613,14718827198.905613,14718827198.905613,14718827198.905613,73.982,0.0,14718827198.905613,14776.6570442067
Austria,1991,62.689,22410.9117666654,3.3374270347479,173794177961.108,3.42000007629395,15433719501.397942,15433719501.397942,15433719501.397942,75.6170731707317,24.495798212077,79.1270071565054,3415.17308238117
Belgium,1991,96.461,21041.6606519648,3.21531069260804,210510999409.333,6.98000001907349,15433719501.397942,15433719501.397942,15433719501.397942,76.1921951219512,1.21508173713429,76.3970068269749,5006.00470628876
Brunei Darussalam,1991,66.585,13716.9904860241,1.60000000000001,3701667052.55846,4.69999980926514,87.8041763305664,15433719501.397942,98.0956726074219,71.871,0.432168224450779,99.9217502141883,7236.05202697695
Denmark,1991,84.871,27011.3774590051,2.39515331724414,139224688814.195,9.10000038146973,15433719501.397942,15433719501.397942,15433719501.397942,75.1578048780488,7.07089896619989,94.0844192736689,3734.81839816014
Finland,1991,79.843,25484.7392935746,4.31021289843461,127773856785.767,6.5,15433719501.397942,15433719501.397942,15433719501.397942,75.2275609756098,24.0270184115338,56.5622055798828,5742.78422893888
"Hong Kong SAR, China",1991,99.832,15465.8588553349,11.1587982832618,88959620135.8864,1.79999995231628,15433719501.397942,15433719501.397942,15433719501.397942,77.8829268292683,1.04143307803782,15433719501.397942,1554.12273991655
Iceland,1991,90.932,26802.9895156678,6.80877887943638,6909730288.17061,2.54999995231628,15433719501.397942,15433719501.397942,15433719501.397942,77.9919512195122,54.7874237583985,27.8386660688339,8054.3567225375
Ireland,1991,57.073,14087.2074393708,3.21081702751349,49787501584.4847,15.7700004577637,15433719501.397942,15433719501.397942,15433719501.397942,75.025,2.22917590071014,85.4330087439129,2827.84449817287
Luxembourg,1991,81.13,35747.3377992066,3.11835659874854,13834219728.293,1.48000001907349,15433719501.397942,15433719501.397942,15433719501.397942,75.4634146341463,1.70014016482708,89.306984358692,9353.42118863049
New Zealand,1991,84.95,12230.0734548834,2.60239285999773,42745329732.163,10.6099996566772,15433719501.397942,15433719501.397942,15433719501.397942,76.0317073170732,29.6789468552753,67.0469835288852,3763.81448313353
Norway,1991,72.265,28596.9330036444,3.43819599109133,121872464483.487,5.40999984741211,15433719501.397942,15433719501.397942,15433719501.397942,76.9807317073171,60.7848803364396,52.9442670806651,5105.10820483315
