country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Myanmar,1971,23.215,20.0386644274728,2.08791208791184,559378375.675676,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,51.215,3042832806.7755327,19.089697219324,283.186147581907
Nepal,1971,4.005,69.1017185775619,-1.99950384520828,882765471.604938,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,43.312,3042832806.7755327,1.653869097904,286.321974313633
Netherlands,1971,61.913,3378.61479729144,7.47767867671158,44579122807.0175,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,73.809512195122,3042832806.7755327,99.9754382823641,3855.22676612833
New Zealand,1971,81.491,2772.9185969396,10.3875683188137,7911136757.06867,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.7731707317073,3042832806.7755327,67.6630291898907,2393.1072555205
Nigeria,1971,18.151,161.54390139432,15.9991148482235,9181769911.50443,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,40.48,3042832806.7755327,5.96776956626885,583.758635610566
Norway,1971,66.23,3736.34873749991,6.22386323501295,14583114840.0629,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,74.1792682926829,3042832806.7755327,61.0663451149018,3414.31663890625
Pakistan,1971,25.084,175.198919999176,4.73069148232274,10665896682.0664,2.08999991416931,3042832806.7755327,3042832806.7755327,3042832806.7755327,50.35,3042832806.7755327,35.6003521540087,279.867627441489
Panama,1971,47.919,977.451458303401,1.91964285715142,1523917200.0,7.59999990463257,3042832806.7755327,3042832806.7755327,3042832806.7755327,65.787,3042832806.7755327,79.2967990424786,1062.13311508384
Paraguay,1971,37.23,269.73684248673,4.95325693640983,664571428.571429,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,62.803,3042832806.7755327,14.6123649777344,555.439067740303
Peru,1971,58.496,595.859829713706,6.79063936495416,8289582883.46253,4.57000017166138,3042832806.7755327,3042832806.7755327,3042832806.7755327,56.163,3042832806.7755327,58.1991918811697,656.133841020911
Philippines,1971,33.493,217.97775788428,21.4033435366143,8375086047.07931,5.28000020980835,3042832806.7755327,3042832806.7755327,3042832806.7755327,61.988,3042832806.7755327,51.6808714067475,398.90363129255
Portugal,1971,39.197,1064.53771257341,11.9468983654056,9201604240.28269,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,66.7707317073171,3042832806.7755327,80.114098546433,726.050457694549
Saudi Arabia,1971,50.688,1123.22141913792,4.47499999975003,7184863276.49996,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,53.773,3042832806.7755327,99.9800084043527,1150.3025486121
Senegal,1971,30.72,297.769096907193,3.87820263197537,1339548823.65225,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,41.219,3042832806.7755327,33.561818681093,276.040675621124
Singapore,1971,100.0,1071.41154035538,1.76100628930819,2263785443.61688,4.80000019073486,3042832806.7755327,3042832806.7755327,3042832806.7755327,69.1883414634146,3042832806.7755327,99.6326514616846,1292.24146907094
South Africa,1971,47.869,1016.48348351357,5.95739773780426,23411079378.0172,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,55.955,3042832806.7755327,89.6365378545042,1972.47493111699
Spain,1971,66.848,1362.16552414021,8.23688714893596,46619420359.2814,1.5,3042832806.7755327,3042832806.7755327,3042832806.7755327,71.630243902439,3042832806.7755327,92.5099547769809,1244.90322573105
Sri Lanka,1971,17.697,185.859743538902,2.66538020859996,2369308600.33727,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,65.922,3042832806.7755327,26.0117775767892,297.924799913021
Sudan,1971,17.22,176.294158935547,1.3036690085935,2656000000.0,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,49.646,3042832806.7755327,19.3550011973829,602.268795889526
Sweden,1971,81.563,5132.71160742552,7.39554113837636,41566412922.6087,2.54999995231628,3042832806.7755327,3042832806.7755327,3042832806.7755327,74.6239024390244,3042832806.7755327,79.1174662500856,4450.3825107732
Syrian Arab Republic,1971,43.751,320.812975135006,5.6094182825485,2097643979.05759,7.5,3042832806.7755327,3042832806.7755327,3042832806.7755327,61.37,3042832806.7755327,3042832806.7755327,363.711637760559
Thailand,1971,21.442,200.364068276751,0.484652665370736,7375000024.03846,0.189999997615814,3042832806.7755327,3042832806.7755327,3042832806.7755327,58.524,3042832806.7755327,43.2163467579105,371.911571281643
Togo,1971,21.602,126.383263397333,6.49206113639431,286537524.990331,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,46.587,3042832806.7755327,15.4921961106456,320.549344547111
Trinidad and Tobago,1971,43.959,896.637753766272,3.53102076329,896754316.674262,13.0299997329712,3042832806.7755327,3042832806.7755327,3042832806.7755327,65.283,3042832806.7755327,98.5577185564448,2637.14517112775
Turkiye,1971,38.945,447.612404636092,19.0114086837676,16275167785.2349,3042832806.7755327,3042832806.7755327,3042832806.7755327,3042832806.7755327,57.409,3042832806.7755327,68.9916544018548,537.506576259152
United Kingdom,1971,77.03,2649.80151387223,9.44483742337138,148113896325.14,3.29999995231628,3042832806.7755327,3042832806.7755327,3042832806.7755327,72.2731707317073,3042832806.7755327,96.4164484727908,3733.28299838792
Uruguay,1971,82.57,1000.6295026028,23.9530889061731,2807258064.51613,7.59999990463257,3042832806.7755327,3042832806.7755327,3042832806.7755327,68.969,3042832806.7755327,78.3736692779417,861.462802246451
Canada,1972,75.971,5089.58790204875,4.9880287310455,113082820486.918,6.30000019073486,3490616767.0624237,3490616767.0624237,3490616767.0624237,72.9339024390244,3490616767.0624237,84.0243177777995,6863.44433456086
Algeria,1972,39.831,468.620824329436,3.65630712983235,6766766610.86932,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,44.346,3490616767.0624237,98.7799260603456,278.438100166291
Australia,1972,84.32,3949.46164337606,6.02409638554218,52042056074.7664,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,71.4575609756098,3490616767.0624237,91.3055885105058,4035.20634438795
Austria,1972,65.311,2924.04887899105,6.35514612686782,22059612476.9332,1.29999995231628,3490616767.0624237,3490616767.0624237,3490616767.0624237,70.4634146341463,3490616767.0624237,90.1237315946295,2627.32249578186
Belgium,1972,94.106,3831.63189999433,5.44843128438077,37209418018.5134,2.70000004768372,3490616767.0624237,3490616767.0624237,3490616767.0624237,71.4051219512195,3490616767.0624237,3490616767.0624237,4473.92951272846
Bolivia,1972,40.389,262.3418990387,6.51154401154364,1257615644.97932,8.10000038146973,3490616767.0624237,3490616767.0624237,3490616767.0624237,47.497,3490616767.0624237,73.5276207663419,235.343581005815
Cameroon,1972,22.927,220.024831627417,8.09291869579621,1498252050.17228,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,48.9,3490616767.0624237,9.2191296059077,404.570959141008
Colombia,1972,58.143,395.98762231097,12.4444589907729,8671358732.68486,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,62.569,3490616767.0624237,68.049177592941,633.132166304268
"Congo, Dem. Rep.",1972,25.089,290.207968754385,15.8042153907951,6173712814.37126,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,43.933,3490616767.0624237,12.2541802798359,322.069443595053
Costa Rica,1972,40.068,633.199660020383,4.60112569280861,1238251695.55388,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,66.716,3490616767.0624237,58.4251342537761,441.26681690596
